Presentation Score,0.5
Exam Result,0.0
Original,Test 01,Error
Original,Test 02,Fail
Original,Test 03,Success
Original,Test 04,Fail
Original,Test 05,Success
Original,Test 06,Fail
Original,Test 07,Success
Original,Test 08,Success
Original,Test 09,Error
Original,Test 10,Error
Original,Test 11,Success
Original,Test 12,Fail
APRO_2022_M_5_SA_1_Hotel_Test_Cases_Chosen,Test 01,Fail
APRO_2022_M_5_SA_1_Hotel_Test_Cases_Chosen_ChatGPT,Test 01,Fail
APRO_2022_M_5_SA_1_Hotel_Test_Cases_Chosen_V0_Longer_Side_Effect,Test 01,Fail
APRO_2022_M_5_SA_1_Hotel_Test_Cases_Chosen_V1_Export_Functions,Test 01,Fail
APRO_2022_M_5_SA_1_Hotel_Test_Cases_Chosen_V2_Check_and_Get_Function,Test 01,Fail
APRO_2022_M_5_SA_1_Hotel_Test_Cases_Chosen_V3_Check_Class,Test 01,Fail
APRO_2022_M_5_SA_1_Hotel_Test_Cases_Chosen_V4_Try_Catch,Test 01,Fail
